Date,Workout Type,Duration (mins),Calories Burned,Intensity (RPE),Avg Heart Rate,Weight,Age,Sex
21-03-2024,Rest,0,0,0,63,72,22,M
22-03-2024,Cardio,39,362,7,159,72,22,M
23-03-2024,Cardio,55,537,7,134,72,22,M
24-03-2024,Cardio,76,701,6,133,72,22,M
25-03-2024,Rest,0,0,0,61,72,22,M
26-03-2024,Cardio,45,411,8,149,72,22,M
27-03-2024,Strength,38,299,7,130,72,22,M
28-03-2024,Strength,66,515,7,127,72,22,M
29-03-2024,Cardio,40,374,6,155,72,22,M
30-03-2024,Strength,47,328,7,128,72,22,M
31-03-2024,Yoga,50,138,3,93,72,22,M
01-04-2024,HIIT,43,514,9,142,72,22,M
02-04-2024,Strength,57,448,8,142,72,22,M
03-04-2024,Rest,0,0,0,60,72,22,M
04-04-2024,Yoga,39,103,5,92,72,22,M
05-04-2024,Rest,0,0,0,63,72,22,M
06-04-2024,HIIT,51,460,8,143,72,22,M
07-04-2024,Rest,0,0,0,68,72,22,M
08-04-2024,Strength,41,293,8,139,72,22,M
09-04-2024,Yoga,27,94,3,109,72,22,M
10-04-2024,HIIT,40,454,8,155,72,22,M
11-04-2024,Cardio,38,337,8,155,72,22,M
12-04-2024,Rest,0,0,0,61,72,22,M
13-04-2024,Mobility,44,143,2,89,72,22,M
14-04-2024,Rest,0,0,0,65,72,22,M
15-04-2024,Cardio,40,376,7,156,72,22,M
16-04-2024,Cardio,47,468,6,135,72,22,M
17-04-2024,Strength,56,446,7,126,72,22,M
18-04-2024,HIIT,40,370,9,167,72,22,M
19-04-2024,HIIT,24,224,9,158,72,22,M
20-04-2024,Strength,60,416,7,137,72,22,M
21-04-2024,Cardio,57,565,6,157,72,22,M
22-04-2024,Strength,52,402,7,144,72,22,M
23-04-2024,Cardio,45,366,8,157,72,22,M
24-04-2024,Strength,54,380,8,144,72,22,M
25-04-2024,Yoga,40,154,3,92,72,22,M
26-04-2024,Cardio,63,616,7,145,72,22,M
27-04-2024,Strength,30,207,8,123,72,22,M
28-04-2024,Strength,52,413,8,124,72,22,M
29-04-2024,Mobility,48,139,2,99,72,22,M
30-04-2024,Cardio,63,513,6,143,72,22,M
01-05-2024,Rest,0,0,0,62,72,22,M
02-05-2024,HIIT,31,359,9,169,72,22,M
03-05-2024,Cardio,63,551,8,153,72,22,M
04-05-2024,HIIT,27,311,9,166,72,22,M
05-05-2024,HIIT,58,594,9,148,72,22,M
06-05-2024,Cardio,45,445,6,150,72,22,M
07-05-2024,HIIT,45,465,8,160,72,22,M
08-05-2024,Cardio,46,429,7,130,72,22,M
09-05-2024,Yoga,50,126,5,97,72,22,M
10-05-2024,Strength,57,435,8,131,72,22,M
11-05-2024,Mobility,44,96,3,96,72,22,M
12-05-2024,Cardio,51,429,7,140,72,22,M
13-05-2024,Cardio,58,534,7,135,72,22,M
14-05-2024,Yoga,36,119,4,109,72,22,M
15-05-2024,Strength,46,324,7,142,72,22,M
16-05-2024,Yoga,43,157,3,99,72,22,M
17-05-2024,Cardio,59,545,6,131,72,22,M
18-05-2024,Strength,48,339,7,138,72,22,M
19-05-2024,Strength,31,194,8,130,72,22,M
20-05-2024,Yoga,39,127,5,92,72,22,M
21-05-2024,Mobility,34,70,2,98,72,22,M
22-05-2024,Cardio,36,296,6,135,72,22,M
23-05-2024,Strength,39,262,8,133,72,22,M
24-05-2024,Strength,43,311,7,134,72,22,M
25-05-2024,Cardio,45,442,7,140,72,22,M
26-05-2024,Cardio,53,443,6,132,72,22,M
27-05-2024,Cardio,38,340,8,153,72,22,M
28-05-2024,Yoga,38,103,3,103,72,22,M
29-05-2024,Cardio,23,222,8,144,72,22,M
30-05-2024,HIIT,33,370,9,164,72,22,M
31-05-2024,Cardio,28,271,8,154,72,22,M
01-06-2024,Cardio,29,259,6,149,72,22,M
02-06-2024,Strength,47,327,7,132,72,22,M
03-06-2024,Strength,49,349,8,136,72,22,M
04-06-2024,Strength,61,475,7,125,72,22,M
05-06-2024,Yoga,44,171,4,94,72,22,M
06-06-2024,Cardio,28,244,6,135,72,22,M
07-06-2024,Strength,52,413,7,125,72,22,M
08-06-2024,Strength,46,351,8,138,72,22,M
09-06-2024,HIIT,27,259,8,151,72,22,M
10-06-2024,Mobility,71,163,3,98,72,22,M
11-06-2024,HIIT,63,676,9,145,72,22,M
12-06-2024,Cardio,47,431,6,140,72,22,M
13-06-2024,Strength,65,416,8,131,72,22,M
14-06-2024,Yoga,25,62,3,94,72,22,M
15-06-2024,Cardio,68,558,8,159,72,22,M
16-06-2024,Rest,0,0,0,61,72,22,M
17-06-2024,Cardio,38,319,8,138,72,22,M
18-06-2024,Strength,46,352,8,127,72,22,M
19-06-2024,HIIT,48,550,9,169,72,22,M
20-06-2024,Cardio,51,440,7,133,72,22,M
21-06-2024,Strength,32,220,8,127,72,22,M
22-06-2024,HIIT,47,484,8,162,72,22,M
23-06-2024,Strength,53,359,7,120,72,22,M
24-06-2024,Strength,22,164,7,126,72,22,M
25-06-2024,Yoga,59,202,5,104,72,22,M
26-06-2024,Strength,46,304,8,144,72,22,M
27-06-2024,Cardio,47,379,8,130,72,22,M
28-06-2024,Strength,49,374,7,141,72,22,M
